Name,Repo,Prev Version,Version,Release Notes,Magento Version
growth-plus,growth-plus-m2,1.3.1,1.3.1.1,,ce-2.1.x-ee-2.2.x
growth,growth-m2,1.3.1,1.3.1.1,,ce-2.1.x-ee-2.2.x
growth,growth-m1,1.2.1.5,1.2.1.5,,ce-1.9.x-ee-1.14.x
starter,starter-m2,1.3.1,1.3.1.1,,ce-2.1.x-ee-2.2.x
starter,starter-m1,1.2.1.5,1.2.1.5,,ce-1.9.x-ee-1.14.x
barcode,BarcodeSuccess-M1,1.1.0,1.1.0,,ce-1.9.x-ee-1.14.x
barcode,BarcodeSuccess-M2,1.3.1.1,1.3.1.1,,ce-2.1.x-ee-2.2.x
dropship,DropshipSuccess-M2,1.1.1,1.1.1,,ce-2.1.x-ee-2.2.x
order fulfillment,FulfilSuccess-M2,1.2.0.5,1.2.0.5,,ce-2.1.x-ee-2.2.x
giftcard,Giftcard-Magento1,4.8.1.1,4.8.1.1,,ce-1.9.x-ee-1.14.x
giftcard,Giftcard-Magento2,2.2.0.5,2.2.0.5,,ce-2.1.x-ee-2.2.x
inventory-management,InventorySuccess-M1,2.1.4.2,2.1.4.2,,ce-1.9.x-ee-1.14.x
inventory-management,OS-Inventorysuccess-M2,1.6.1.5,1.6.1.5,,ce-2.1.x-ee-2.2.x
purchase-order,PurchaseOrderSuccess-M1,1.2.0.2,1.2.0.2,,ce-1.9.x-ee-1.14.x
purchase-order,PurchaseOrderSuccess-M2,1.3.0.2,1.3.0.2,,ce-2.1.x-ee-2.2.x
webpos,WebPOS-Magento2-New,2.4.1.9,2.4.2.1,,ce-2.1.x-ee-2.2.x
retailerpos,WebPOS-Magento2-New,2.4.1.9,2.4.2.1-retailerpos,,ce-2.1.x-ee-2.2.x
inventory-report,ReportSuccess-M1,1.0.0.1,1.0.0.1,,ce-1.9.x-ee-1.14.x
inventory-report,ReportSuccess-M2,1.0.0.1,1.0.0.1,,ce-2.1.x-ee-2.2.x
rewardpoints api,Rewardpoints-Api-Magento1,0.1.0,0.1.0,,ce-1.9.x-ee-1.14.x
rewardpoints loyaltylevel,Rewardpoints-Loyaltylevel-Magento1,0.2.5,0.2.5,,ce-1.9.x-ee-1.14.x
rewardpoints rules,Rewardpoints-Rule-Magento1,0.2.5,0.2.5,,ce-1.9.x-ee-1.14.x
rewardpoints standard,Rewardpoints-Standard-Magento1,2.5.2.1,2.5.2.1,,ce-1.9.x-ee-1.14.x
rewardpoints standard,Rewardpoints-Standard-Magento2,1.2.2.1,1.2.2.1,,ce-2.1.x-ee-2.2.x
store-credit,Storecredit-Magento1,0.2.0,0.2.0,,ce-1.9.x-ee-1.14.x
storecredit,Storecredit-Magento2,2.2.0.2,2.2.0.2,,ce-2.1.x-ee-2.2.x
store-pickup,Storepickup-Magento1,4.6.0.1,4.6.0.1,,ce-1.9.x-ee-1.14.x
storepickup,Storepickup-Magento2,1.2.1.2,1.2.1.2,,ce-2.1.x-ee-2.2.x
webpos,Webpos-M1-Rebuild,3.2.8.3,3.2.8.3,,ce-1.9.x-ee-1.14.x
retailerpos,Webpos-M1-Rebuild,3.2.8.3,3.2.8.3,,ce-1.9.x-ee-1.14.x
,OrderSuccess,1.1.1.3,1.1.1.3,,ce-2.1.x-ee-2.2.x
,FulfilReport-M2,1.0.0.1,1.0.0.1,,ce-2.1.x-ee-2.2.x
,SupplierSuccess,1.1.0.2,1.1.0.2,,ce-2.1.x-ee-2.2.x
,CoreSuccess-M1,1.0.0,1.0.0,,ce-1.9.x-ee-1.14.x
,omc-starter-m1,1.0.0,1.0.0,,ce-1.9.x-ee-1.14.x
,omc-2.0,1.0.0,1.0.0,,ce-2.1.x-ee-2.2.x
,omc-starter,1.0.0,1.0.0,,ce-2.1.x-ee-2.2.x
